date,open,close,high,low,change,volume,market_cap
2019-06-25,11007.20,11790.92,11790.92,11007.20,7.12,24879684533,209647943360
2019-06-24,10853.74,11011.10,11065.90,10610.43,1.45,19271652365,195762668679
2019-06-23,10696.69,10855.37,11246.14,10556.10,1.48,20998326502,192970090355
2019-06-22,10175.92,10701.69,11157.35,10107.04,5.17,29995204861,190214124824
2019-06-21,9525.07,10144.56,10144.56,9525.07,6.5,20624008643,180293241528
2019-06-20,9273.06,9527.16,9594.42,9232.48,2.74,17846823784,169304784791
2019-06-19,9078.73,9273.52,9299.62,9070.40,2.15,15546809946,164780855869
2019-06-18,9335.47,9081.76,9348.37,9004.90,-2.72,15848210536,161353637186
2019-06-17,8988.92,9320.35,9416.41,8988.92,3.69,15562951919,165573372261
2019-06-16,8841.44,8994.49,9335.87,8814.56,1.73,23348550311,159769423370
2019-06-15,8689.75,8838.38,8859.13,8618.40,1.71,18371033226,156982138835
2019-06-14,8230.90,8693.83,8710.64,8183.39,5.62,19831162906,154398880249
2019-06-13,8145.55,8230.92,8311.57,8087.06,1.05,18669407147,146160317148
2019-06-12,7925.43,8145.86,8196.65,7862.36,2.78,19034432883,144634684711
2019-06-11,8004.24,7927.71,8026.39,7772.80,-0.96,17107279932,140748537530
2019-06-10,7692.28,8000.33,8031.91,7586.73,4.0,18689275117,142023351079
2019-06-09,7949.67,7688.08,7975.97,7583.22,-3.29,16610726547,136465098533
2019-06-08,8036.77,7954.13,8076.89,7837.61,-1.03,16522722810,141172841635
2019-06-07,7826.90,8043.95,8126.15,7788.37,2.77,19141423231,142754693588
2019-06-06,7819.63,7822.02,7937.34,7571.47,0.03,19474611077,138800725479
2019-06-05,7704.34,7824.23,7901.85,7668.67,1.56,21760923463,138824651666
2019-06-04,8210.99,7707.77,8210.99,7564.49,-6.13,24609731549,136742790469
2019-06-03,8741.75,8208.99,8743.50,8204.19,-6.09,22004511436,145619047341
2019-06-02,8565.47,8742.96,8809.30,8561.24,2.07,20266216022,155077231351
2019-06-01,8573.84,8564.02,8625.60,8481.58,-0.11,22488303544,151890214310
2019-05-31,8320.29,8574.50,8586.66,8172.55,3.06,25365190957,152059886414
2019-05-30,8661.76,8319.47,9008.31,8221.27,-3.95,29246528551,147525141134
2019-05-29,8718.59,8659.49,8755.85,8482.73,-0.68,23473479966,153537047655
2019-05-28,8802.76,8719.96,8807.02,8634.72,-0.94,24226919267,154590202287
2019-05-27,8674.07,8805.78,8907.17,8668.70,1.52,27949839564,156093754762
2019-05-26,8055.21,8673.22,8687.52,7924.67,7.67,26677970091,153725486067
2019-05-25,7991.89,8052.54,8117.93,7965.98,0.76,22256813107,142708188838
2019-05-24,7881.70,7987.37,8140.72,7824.45,1.34,25919126991,141539115575
2019-05-23,7677.27,7881.85,7943.79,7533.20,2.66,24457107820,139654107035
2019-05-22,7956.29,7680.07,7997.61,7615.99,-3.47,24719473175,136063898960
2019-05-21,7977.97,7963.33,8062.17,7843.34,-0.18,25127245056,141065573610
2019-05-20,8196.92,7978.31,8200.97,7678.78,-2.67,23843404340,141315695728
2019-05-19,7267.96,8197.69,8261.94,7267.96,12.79,25902422040,145185076705
2019-05-18,7341.66,7271.21,7447.27,7251.50,-0.96,21354286562,128761727083
2019-05-17,7886.93,7343.90,7929.15,7038.12,-6.89,30066644905,130034777633
2019-05-16,8194.50,7884.91,8320.82,7729.61,-3.78,33167197581,139599559278
2019-05-15,7989.37,8205.17,8216.42,7899.11,2.7,28344112920,145254332460
2019-05-14,7807.88,7994.42,8268.71,7696.39,2.39,32031452227,141508656735
2019-05-13,6971.18,7814.92,8047.41,6898.28,12.1,28677672181,138316573807
2019-05-12,7203.51,6972.37,7503.87,6815.77,-3.21,27773333680,123389710222
2019-05-11,6379.67,7204.77,7333.00,6375.70,12.93,28867562329,127488435181
2019-05-10,6175.82,6378.85,6434.62,6161.52,3.29,19419875368,112863284035
2019-05-09,5982.32,6174.53,6183.04,5982.32,3.21,16784645411,109238600750
2019-05-08,5849.48,5982.46,5989.98,5794.72,2.27,15320605300,105829143585
2019-05-07,5745.60,5829.50,5988.18,5741.40,1.46,18026409033,103112368557
2019-05-06,5791.69,5746.81,5802.96,5653.69,-0.77,15737171804,101640471056
2019-05-05,5831.07,5795.71,5833.86,5708.04,-0.61,14808830723,102494420158
2019-05-04,5769.20,5831.17,5886.89,5645.47,1.07,17567780766,103112021259
2019-05-03,5505.55,5768.29,5865.88,5490.20,4.77,18720780006,101986240859
2019-05-02,5402.42,5505.28,5522.26,5394.22,1.9,14644460907,97330112147
2019-05-01,5350.91,5402.70,5418.00,5347.65,0.97,13679528236,95501110091
2019-04-30,5247.73,5350.73,5363.26,5224.19,1.96,13878964574,94573826827
